Time of Tweet,Tweet,URL to Tweet
2011-10-15 00:35:09,Pass this on! http://t.co/RV56qHwi,https://twitter.com/nick_bap/status/125006763601821696
2011-10-13 05:52:19,@el_GEEZador the best,https://twitter.com/nick_bap/status/124361804557201409
2011-10-11 05:13:13,RT @Gizmodo: People agree this is the most amazing timelapse video yet—it's been our most read post since Oct 6! http://t.co/1hGoyuA5,https://twitter.com/nick_bap/status/123627189483741184
2011-10-10 01:54:15,@Bruthakyle where'd you see him? He have a phone?,https://twitter.com/nick_bap/status/123214731887648768
2011-10-05 17:33:33,“@Macworld: An official Apple Micro-USB adapter for iPhones and iPads? It's true!: http://t.co/HtrZL3CM” @Evan_Tarv,https://twitter.com/nick_bap/status/121639174938968064
2011-10-03 16:13:29,@CountRickuula Yeee san diego,https://twitter.com/nick_bap/status/120894248664043520
2011-10-02 19:04:23,@BryceHudson18 my weekends are kinda hit or miss but I think I may skate the Encinitas YMCA tomorrow,https://twitter.com/nick_bap/status/120574869065830400
2011-09-27 18:58:07,@crazychica120 haha that's graayyyytt,https://twitter.com/nick_bap/status/118761354260779008
2011-09-27 18:28:16,"“@DailyBeastWest: .@TravisBarker, drummer of Blink-182, opens up about his plane crash and more: http://t.co/0C48qoq8” @Evan_Tarv",https://twitter.com/nick_bap/status/118753841654145024
2011-09-25 00:39:19,RT @_Snape_: #2thingsIKnow 1) J.K. Rowling wrote the perfect story. 2) She should continue it.,https://twitter.com/nick_bap/status/117760054853242880
2011-09-23 16:12:35,“@fox5sandiego: Caltrans destroys clandestine skate park http://t.co/HYZ6iha4” another one bites the dust :(,https://twitter.com/nick_bap/status/117270142194421760
2011-09-21 18:08:43,“@fox5sandiego: Pacific Beach Homicide http://t.co/sidXM0bC” @Evan_Tarv @matparker24 PB is hood,https://twitter.com/nick_bap/status/116574591903735808
2011-09-21 00:34:01,@crazychica120 Hahahah such a good article for a legendary celebration,https://twitter.com/nick_bap/status/116309167530188803
2011-09-19 17:43:57,RT @Lord_Voldemort7: #PeopleTougherThanRayJ: Gilderoy Lockhart.,https://twitter.com/nick_bap/status/115843586465083392
2011-09-19 17:43:20,“@cnet: Google Wallet launching today? Signs point to yes: http://t.co/v8gvtaRT” @matparker24,https://twitter.com/nick_bap/status/115843428021047296
2011-09-18 04:30:14,@matparker24 Nemesis is at the firehouse tonight,https://twitter.com/nick_bap/status/115281450579927041
2011-09-17 05:52:10,RT @eggszachlee: RideYoBike!,https://twitter.com/nick_bap/status/114939683825397760
2011-09-17 01:53:11,RT @_Snape_: One night with me and they'll be calling you Moaning Myrtle. #WorstPickUpLine,https://twitter.com/nick_bap/status/114879541519978496
2011-09-16 22:49:53,I swear driving with a dog in your lap is worse than driving with a phone in your hand,https://twitter.com/nick_bap/status/114833411197251584
2011-09-16 20:08:47,@deaddiego the worst!!,https://twitter.com/nick_bap/status/114792869902041088
2011-09-16 16:49:41,RT @Lord_Voldemort7: Vampires VS Zombies... sparkling VS moaning. Why not just put them together and you've got a Ke$ha concert!,https://twitter.com/nick_bap/status/114742766029905920
